users,paella ,pascha wielkanocna,spaghetti bolognese,lazania,pierogi,czebureki,babka ziemniaczana,kaszanka,kutia,Pizza Neapolitanska,Spaghetti Neapolitana,Kurczak curry,Kalafior w panierce,Ramen,Barszcz czerwony,Schabowy,gnocchi z chorizo i szpinakiem,Grzanka z serem,Kotlety mielone,Kebab,Tagliatelle z szynką parmeńską w sosie śmietanowym,Krewetki,Sushi,kanapka serem i czekoladą
Ula,4,5,,,,,,,,,,,,,,,,,,,,,,
Monika,,,,,5,,5,3,,4,4,,3,,5,,,,3,,,2,,
Maciek,2,,5,5,,4,1,1,,5,,4,,,4,,,,,,,,,
Kasper,1,,1,,2,,1,,5,1,1,1,1,,,5,,,,,,,,
Filip,,,5,5,4,,4,3,,1,5,4,,,3,5,,,4,5,,,,
Ola,,3,,2,5,,4,1,2,,,,4,,5,3,,,,4,,,,
Patrycja,,,,4,4,,0,1,,5,5,,2,1,,4,,3,,4,5,1,4,
Juliusz,,,,5,5,,5,,,5,5,,,4,3,5,,,3,5,5,,,
Matusz,,,4,5,5,,5,4,,,,5,4,,3,5,,4,1,,,1,,
Konrad,,,,,5,,5,,,5,5,5,,4,5,,,,5,5,,,,
Rafał,,,2,,,,2,,,4,2,4,,5,,5,4,,,,,,4,3
Andrzej,,,,5,5,,3,,5,,,5,3,,,5,,3,3,,5,,3,
Mateusz Daniel,,,,,,,,,,,,,1,4,1,5,3,4,5,5,5,1,5,5